tick,type,time,meta,track,numerator,denominator,clocks_per_click,notated_32nd_notes_per_beat,key,tempo,control,value,channel,program,port,note,velocity
0,control_change,0,0,0,,,,,,,121,0,0,,,,
0,time_signature,0,1,0,3,8,24,8,,,,,,,,,
0,set_tempo,0,1,0,,,,,,500000,,,,,,,
0,program_change,0,0,0,,,,,,,,,0,0,,,
0,track_name,0,1,0,,,,,,,,,,,,,
0,note_on,0,0,1,,,,,,,,,0,,,57,80
0,note_on,0,0,0,,,,,,,,,0,,,73,80
0,midi_port,0,1,1,,,,,,,,,,,0,,
0,midi_port,0,1,0,,,,,,,,,,,0,,
0,key_signature,0,1,1,,,,,A,,,,,,,,
0,key_signature,0,1,0,,,,,A,,,,,,,,
0,track_name,0,1,1,,,,,,,,,,,,,
0,control_change,0,0,0,,,,,,,100,0,0,,,,
0,control_change,0,0,0,,,,,,,93,0,0,,,,
0,control_change,0,0,0,,,,,,,101,0,0,,,,
0,control_change,0,0,0,,,,,,,91,0,0,,,,
0,control_change,0,0,0,,,,,,,10,64,0,,,,
0,control_change,0,0,0,,,,,,,7,99,0,,,,
0,control_change,0,0,0,,,,,,,6,12,0,,,,
0,control_change,0,0,0,,,,,,,100,127,0,,,,
0,control_change,0,0,0,,,,,,,101,127,0,,,,
227,note_on,227,0,0,,,,,,,,,0,,,73,0
227,note_on,227,0,1,,,,,,,,,0,,,57,0
240,note_on,13,0,0,,,,,,,,,0,,,71,80
240,note_on,13,0,1,,,,,,,,,0,,,52,80
353,note_on,113,0,0,,,,,,,,,0,,,71,0
360,note_on,7,0,0,,,,,,,,,0,,,69,80
467,note_on,227,0,1,,,,,,,,,0,,,52,0
473,note_on,113,0,0,,,,,,,,,0,,,69,0
480,note_on,7,0,0,,,,,,,,,0,,,71,80
593,note_on,113,0,0,,,,,,,,,0,,,71,0
600,note_on,7,0,0,,,,,,,,,0,,,68,80
713,note_on,113,0,0,,,,,,,,,0,,,68,0
720,note_on,7,0,0,,,,,,,,,0,,,69,80
720,note_on,253,0,1,,,,,,,,,0,,,54,80
947,note_on,227,0,1,,,,,,,,,0,,,54,0
947,note_on,227,0,0,,,,,,,,,0,,,69,0
960,note_on,13,0,1,,,,,,,,,0,,,49,80
960,note_on,13,0,0,,,,,,,,,0,,,76,80
1187,note_on,227,0,1,,,,,,,,,0,,,49,0
1415,note_on,455,0,0,,,,,,,,,0,,,76,0
1440,note_on,25,0,0,,,,,,,,,0,,,74,80
1440,note_on,253,0,1,,,,,,,,,0,,,47,80
1667,note_on,227,0,0,,,,,,,,,0,,,74,0
1667,note_on,227,0,1,,,,,,,,,0,,,47,0
1680,note_on,13,0,1,,,,,,,,,0,,,52,80
1680,note_on,13,0,0,,,,,,,,,0,,,73,80
1793,note_on,113,0,0,,,,,,,,,0,,,73,0
1800,note_on,7,0,0,,,,,,,,,0,,,74,80
1907,note_on,227,0,1,,,,,,,,,0,,,52,0
1913,note_on,113,0,0,,,,,,,,,0,,,74,0
1920,note_on,7,0,0,,,,,,,,,0,,,71,80
1920,note_on,13,0,1,,,,,,,,,0,,,40,80
2033,note_on,113,0,0,,,,,,,,,0,,,71,0
2040,note_on,7,0,0,,,,,,,,,0,,,74,80
2147,note_on,227,0,1,,,,,,,,,0,,,40,0
2153,note_on,113,0,0,,,,,,,,,0,,,74,0
2160,note_on,7,0,0,,,,,,,,,0,,,73,80
2160,note_on,13,0,1,,,,,,,,,0,,,45,80
2215,note_on,55,0,0,,,,,,,,,0,,,73,0
2220,note_on,5,0,0,,,,,,,,,0,,,74,80
2275,note_on,55,0,0,,,,,,,,,0,,,74,0
2280,note_on,5,0,0,,,,,,,,,0,,,73,80
2335,note_on,55,0,0,,,,,,,,,0,,,73,0
2340,note_on,5,0,0,,,,,,,,,0,,,74,80
2387,note_on,227,0,1,,,,,,,,,0,,,45,0
2395,note_on,55,0,0,,,,,,,,,0,,,74,0
2400,note_on,13,0,1,,,,,,,,,0,,,57,80
2400,note_on,5,0,0,,,,,,,,,0,,,73,80
2455,note_on,55,0,0,,,,,,,,,0,,,73,0
2460,note_on,5,0,0,,,,,,,,,0,,,74,80
2515,note_on,55,0,0,,,,,,,,,0,,,74,0
2520,note_on,5,0,0,,,,,,,,,0,,,73,80
2575,note_on,55,0,0,,,,,,,,,0,,,73,0
2580,note_on,5,0,0,,,,,,,,,0,,,74,80
2627,note_on,227,0,1,,,,,,,,,0,,,57,0
2635,note_on,55,0,0,,,,,,,,,0,,,74,0
2640,note_on,13,0,1,,,,,,,,,0,,,56,80
2640,note_on,5,0,0,,,,,,,,,0,,,71,80
2867,note_on,227,0,1,,,,,,,,,0,,,56,0
2867,note_on,227,0,0,,,,,,,,,0,,,71,0
2880,note_on,13,0,1,,,,,,,,,0,,,54,80
2880,note_on,13,0,0,,,,,,,,,0,,,81,80
3107,note_on,227,0,0,,,,,,,,,0,,,81,0
3107,note_on,227,0,1,,,,,,,,,0,,,54,0
3120,note_on,13,0,1,,,,,,,,,0,,,52,80
3120,note_on,13,0,0,,,,,,,,,0,,,80,80
3347,note_on,227,0,1,,,,,,,,,0,,,52,0
3347,note_on,227,0,0,,,,,,,,,0,,,80,0
3360,note_on,13,0,0,,,,,,,,,0,,,78,80
3360,note_on,13,0,1,,,,,,,,,0,,,50,80
3587,note_on,227,0,0,,,,,,,,,0,,,78,0
3587,note_on,227,0,1,,,,,,,,,0,,,50,0
3600,note_on,13,0,1,,,,,,,,,0,,,49,80
3600,note_on,13,0,0,,,,,,,,,0,,,76,80
3827,note_on,227,0,1,,,,,,,,,0,,,49,0
3827,note_on,227,0,0,,,,,,,,,0,,,76,0
3840,note_on,13,0,1,,,,,,,,,0,,,57,80
3840,note_on,13,0,0,,,,,,,,,0,,,74,80
3953,note_on,113,0,0,,,,,,,,,0,,,74,0
3960,note_on,7,0,0,,,,,,,,,0,,,73,80
4067,note_on,227,0,1,,,,,,,,,0,,,57,0
4073,note_on,113,0,0,,,,,,,,,0,,,73,0
4080,note_on,7,0,0,,,,,,,,,0,,,71,80
4193,note_on,113,0,0,,,,,,,,,0,,,71,0
4200,note_on,7,0,0,,,,,,,,,0,,,69,80
4313,note_on,113,0,0,,,,,,,,,0,,,69,0
4320,note_on,7,0,0,,,,,,,,,0,,,78,80
4320,note_on,253,0,1,,,,,,,,,0,,,50,80
4433,note_on,113,0,0,,,,,,,,,0,,,78,0
4440,note_on,7,0,0,,,,,,,,,0,,,76,80
4547,note_on,227,0,1,,,,,,,,,0,,,50,0
4553,note_on,113,0,0,,,,,,,,,0,,,76,0
